Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................ 400.0 m2 
  MAIN WING SWEEP ...............   0.0 deg
  MAIN WING THICKNESS RATIO .....  0.10    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00030 | 0.00088 | 0.00240 | 0.00619 | 0.01503 | 0.03470 | 0.07657 | 
 0.350 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00036 | 0.00106 | 0.00291 | 0.00748 | 0.01817 | 0.04197 | 0.09262 | 
 0.400 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00043 | 0.00128 | 0.00350 | 0.00901 | 0.02189 | 0.05055 | 0.11156 | 
 0.450 |  0.00000 | 0.00001 | 0.00004 | 0.00016 | 0.00052 | 0.00153 | 0.00420 | 0.01080 | 0.02624 | 0.06059 | 0.13371 | 
 0.500 |  0.00000 | 0.00001 | 0.00005 | 0.00019 | 0.00062 | 0.00182 | 0.00500 | 0.01288 | 0.03128 | 0.07222 | 0.15939 | 
 0.550 |  0.00000 | 0.00002 | 0.00006 | 0.00023 | 0.00073 | 0.00216 | 0.00593 | 0.01526 | 0.03706 | 0.08558 | 0.18887 | 
 0.600 |  0.00000 | 0.00002 | 0.00007 | 0.00027 | 0.00086 | 0.00254 | 0.00698 | 0.01796 | 0.04363 | 0.10076 | 0.22236 | 
 0.650 |  0.00000 | 0.00002 | 0.00009 | 0.00031 | 0.00100 | 0.00297 | 0.00816 | 0.02100 | 0.05102 | 0.11781 | 0.25999 | 
 0.700 |  0.00001 | 0.00003 | 0.00010 | 0.00036 | 0.00117 | 0.00345 | 0.00948 | 0.02438 | 0.05922 | 0.13674 | 0.30178 | 
 0.750 |  0.00001 | 0.00003 | 0.00012 | 0.00042 | 0.00134 | 0.00397 | 0.01091 | 0.02808 | 0.06821 | 0.15751 | 0.34762 | 
 0.800 |  0.00001 | 0.00003 | 0.00013 | 0.00048 | 0.00153 | 0.00454 | 0.01247 | 0.03209 | 0.07795 | 0.18000 | 0.39724 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.100 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00083 | 0.00228 | 0.00586 | 0.01423 | 0.03285 | 0.07251 | 
 0.350 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00034 | 0.00101 | 0.00278 | 0.00715 | 0.01738 | 0.04012 | 0.08855 | 
 0.400 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00042 | 0.00123 | 0.00338 | 0.00868 | 0.02109 | 0.04871 | 0.10749 | 
 0.450 |  0.00000 | 0.00001 | 0.00004 | 0.00016 | 0.00050 | 0.00148 | 0.00407 | 0.01047 | 0.02544 | 0.05875 | 0.12965 | 
 0.500 |  0.00000 | 0.00001 | 0.00005 | 0.00019 | 0.00060 | 0.00178 | 0.00488 | 0.01255 | 0.03048 | 0.07038 | 0.15533 | 
 0.550 |  0.00000 | 0.00002 | 0.00006 | 0.00022 | 0.00071 | 0.00211 | 0.00580 | 0.01493 | 0.03627 | 0.08374 | 0.18481 | 
 0.600 |  0.00000 | 0.00002 | 0.00007 | 0.00026 | 0.00084 | 0.00250 | 0.00685 | 0.01763 | 0.04284 | 0.09891 | 0.21830 | 
 0.650 |  0.00000 | 0.00002 | 0.00009 | 0.00031 | 0.00099 | 0.00293 | 0.00804 | 0.02067 | 0.05022 | 0.11596 | 0.25592 | 
