Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |         2        50       100       150       200       250       300       350       400       450 |        2     50    100    150    200    250    300    350    400    450 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
   5000 |       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  10000 |  438849.6  395200.0  348266.2  316359.3  291523.2  269730.5  249532.8  228140.0       nan       nan |    0.225  0.250  0.282  0.312  0.344  0.379  0.420  0.471    nan    nan |
  15000 |  376729.5  340421.5  301825.6  276836.7  257705.9  241866.3  228595.6  217147.8  206670.7  195971.6 |    0.229  0.252  0.283  0.312  0.340  0.371  0.402  0.436  0.472  0.516 |
  20000 |  317579.7  287486.3  255636.8  235943.6  220882.2  208811.0  199180.5  191467.3  185140.8  179582.0 |    0.234  0.258  0.289  0.317  0.344  0.373  0.402  0.431  0.461  0.494 |
  25000 |  264224.4  239443.4  213281.1  197867.9  186028.5  176809.4  169771.8  164513.0  160639.6  157717.1 |    0.241  0.266  0.296  0.324  0.351  0.379  0.406  0.434  0.461  0.489 |
  30000 |  217217.5  196968.2  175629.0  163695.3  154456.2  147470.8  142385.4  138884.0  136662.9  135392.8 |    0.249  0.274  0.305  0.333  0.360  0.387  0.414  0.440  0.466  0.492 |
  35000 |  176458.9  160053.6  143044.9  133670.2  126529.7  121299.3  117694.3  115466.7  114378.9  114176.6 |    0.257  0.283  0.315  0.343  0.370  0.398  0.424  0.450  0.474  0.499 |
  40000 |  139661.4  126679.9  113279.8  105908.5  100320.8   96259.4   93499.2   91845.1   91110.1   91094.8 |    0.259  0.285  0.317  0.345  0.373  0.400  0.427  0.452  0.477  0.501 |
  45000 |  109933.7   99715.4   89167.6   83365.3   78967.0   75770.1   73597.4   72295.4   71716.9   71704.8 |    0.259  0.285  0.317  0.345  0.373  0.400  0.427  0.452  0.477  0.501 |
  50000 |   86543.6   78499.4   70195.8   65628.1   62165.6   59648.8   57938.4   56913.5   56458.0   56448.5 |    0.259  0.285  0.317  0.345  0.373  0.400  0.427  0.452  0.477  0.501 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |         2        50       100       150       200       250       300       350       400       450 |        2     50    100    150    200    250    300    350    400    450 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
   5000 |       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  10000 |       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  15000 |  360004.3  324179.0  285649.2  259439.5  239029.2  221098.4  204437.1  186640.6       nan       nan |    0.225  0.250  0.282  0.313  0.345  0.380  0.420  0.473    nan    nan |
  20000 |  306753.1  277181.9  245745.1  225381.0  209789.9  196875.6  186048.7  176699.9  168130.8  159360.0 |    0.229  0.252  0.283  0.312  0.340  0.371  0.402  0.436  0.473  0.516 |
  25000 |  256487.9  232179.9  206452.3  190535.7  178363.0  168603.6  160813.5  154569.3  149441.6  144929.2 |    0.234  0.258  0.289  0.316  0.344  0.373  0.401  0.431  0.461  0.494 |
  30000 |  211509.0  191670.1  170724.9  158377.7  148894.2  141507.1  135864.8  131645.0  128532.1  126178.2 |    0.241  0.265  0.296  0.324  0.351  0.379  0.406  0.434  0.461  0.489 |
  35000 |  172205.9  156151.7  139233.1  129765.2  122435.9  116892.3  112854.0  110070.3  108300.4  107282.7 |    0.249  0.274  0.305  0.333  0.360  0.387  0.414  0.440  0.466  0.492 |
  40000 |  136352.7  123652.5  110292.9  102880.0   97143.7   92835.5   89733.9   87642.3   86371.9   85718.6 |    0.251  0.276  0.307  0.335  0.362  0.389  0.416  0.442  0.468  0.493 |
  45000 |  107329.4   97332.5   86816.5   80981.5   76466.2   73075.0   70633.6   68987.1   67987.2   67473.0 |    0.251  0.276  0.307  0.335  0.362  0.389  0.416  0.442  0.468  0.493 |
  50000 |   84493.4   76623.5   68345.0   63751.4   60196.8   57527.2   55605.2   54309.1   53521.9   53117.1 |    0.251  0.276  0.307  0.335  0.362  0.389  0.416  0.442  0.468  0.493 |


--------------------------------------------------
 Saturday, 14. May 2016 10:46:48 AM
