Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA .................. 400.0 m2 
  ASPECT RATIO ....................  18.0    
  WING SWEEP ......................   0.0 deg
  WING THICKNESS RATIO ............  0.10    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.717    
  MEAN AEROD. CHORD ............... 5.235 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 main_wing                            |    0.00731    |      800.0    |      1.271    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00050    |       65.0    |      1.151    |    0.00269    |      0.996    |      0.990    |
 vertical_stabilizer                  |    0.00051    |       65.0    |      1.168    |    0.00269    |      0.996    |      0.990    |
 fuselage                             |    0.00246    |      446.7    |      1.048    |    0.00210    |      0.996    |      0.990    |
 fuselage2                            |    0.00246    |      446.7    |      1.048    |    0.00210    |      0.996    |      0.990    |
 turbo_fan  (EACH)                    |    0.00000    |        0.0    |      1.135    |    0.00288    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00000    |        0.0    |      1.135    |    0.00288    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00050    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.01374    |     1823.4    |               |               |               |               |


-------------------------------------------
 Saturday, 14. May 2016 10:46:48 AM
